tool,format,image,quality,bytes,score,min_ms,median_ms,mad_ms,peak_rss_kib,refined,valid
sharp,webp,alpha_logo.png,40,5346,69.45632046,,,,,0,1
sharp,webp,alpha_logo.png,45,5658,70.42524194,,,,,0,1
sharp,webp,alpha_logo.png,50,5828,71.60917034,,,,,0,1
sharp,webp,alpha_logo.png,55,5954,73.07134645,,,,,0,1
sharp,webp,alpha_logo.png,60,6196,73.86591669,,,,,0,1
sharp,webp,alpha_logo.png,65,6376,75.50939823,,,,,0,1
sharp,webp,alpha_logo.png,70,6490,74.34839638,,,,,0,1
sharp,webp,alpha_logo.png,75,6756,76.94613205,,,,,0,1
sharp,webp,alpha_logo.png,80,7380,77.6420114,,,,,0,1
sharp,webp,alpha_logo.png,85,8238,79.10562547,,,,,0,1
sharp,webp,alpha_logo.png,90,9608,79.95806547,,,,,0,1
sharp,webp,alpha_logo.png,95,11794,80.71949283,,,,,0,1
sharp,webp,alpha_logo.png,100,15148,80.99607806,,,,,0,1
sharp,webp,alpha_logo.png,92,10228,80.02858509,,,,,1,1
sharp,webp,alpha_logo.png,91,9910,80.49856418,,,,,1,1
sharp,webp,screenshot_ui.png,40,28520,70.33652214,,,,,0,1
sharp,webp,screenshot_ui.png,45,30556,70.2849936,,,,,0,1
sharp,webp,screenshot_ui.png,50,31188,73.77256424,,,,,0,1
sharp,webp,screenshot_ui.png,55,32442,74.87891686,,,,,0,1
sharp,webp,screenshot_ui.png,60,33602,76.15190554,,,,,0,1
sharp,webp,screenshot_ui.png,65,34828,77.55743102,,,,,0,1
sharp,webp,screenshot_ui.png,70,36386,77.95832716,,,,,0,1
sharp,webp,screenshot_ui.png,75,37800,79.69397846,,,,,0,1
sharp,webp,screenshot_ui.png,80,43202,81.70084703,,,,,0,1
sharp,webp,screenshot_ui.png,85,49554,83.58480321,,,,,0,1
sharp,webp,screenshot_ui.png,90,58382,85.93114559,,,,,0,1
sharp,webp,screenshot_ui.png,95,76550,87.77272588,,,,,0,1
sharp,webp,screenshot_ui.png,100,92910,88.16823777,,,,,0,1
sharp,webp,screenshot_ui.png,78,40696,80.55176631,,,,,1,1
sharp,webp,screenshot_ui.png,76,38710,79.55245805,,,,,1,1
sharp,webp,screenshot_ui.png,77,39976,80.09565656,,,,,1,1
sharp,webp,screenshot_text.png,40,169810,78.12499171,,,,,0,1
sharp,webp,screenshot_text.png,45,178244,79.10670229,,,,,0,1
sharp,webp,screenshot_text.png,50,183582,79.76837147,,,,,0,1
sharp,webp,screenshot_text.png,55,188192,80.61478255,,,,,0,1
sharp,webp,screenshot_text.png,60,195168,81.43724102,,,,,0,1
sharp,webp,screenshot_text.png,65,200964,82.2582831,,,,,0,1
sharp,webp,screenshot_text.png,70,205740,82.75677202,,,,,0,1
sharp,webp,screenshot_text.png,75,214806,83.49942331,,,,,0,1
sharp,webp,screenshot_text.png,80,237644,85.29493093,,,,,0,1
sharp,webp,screenshot_text.png,85,262498,86.35298727,,,,,0,1
sharp,webp,screenshot_text.png,90,304624,88.19124915,,,,,0,1
sharp,webp,screenshot_text.png,95,374384,89.10736963,,,,,0,1
sharp,webp,screenshot_text.png,100,459214,89.62632991,,,,,0,1
sharp,webp,screenshot_text.png,52,185586,80.10533876,,,,,1,1
sharp,webp,screenshot_text.png,51,185518,80.16817734,,,,,1,1
sharp,webp,photo_sky.png,40,7856,65.35656511,,,,,0,1
sharp,webp,photo_sky.png,45,8042,66.02264664,,,,,0,1
sharp,webp,photo_sky.png,50,8424,66.13432747,,,,,0,1
sharp,webp,photo_sky.png,55,8690,66.39365832,,,,,0,1
sharp,webp,photo_sky.png,60,9166,66.86430814,,,,,0,1
sharp,webp,photo_sky.png,65,10146,67.41436613,,,,,0,1
sharp,webp,photo_sky.png,70,11186,67.92183379,,,,,0,1
sharp,webp,photo_sky.png,75,12364,68.23153566,,,,,0,1
sharp,webp,photo_sky.png,80,21954,71.25825582,,,,,0,1
sharp,webp,photo_sky.png,85,38782,74.28115269,,,,,0,1
sharp,webp,photo_sky.png,90,79160,78.72330401,,,,,0,1
sharp,webp,photo_sky.png,95,186696,83.59476335,,,,,0,1
sharp,webp,photo_sky.png,100,362138,87.17445105,,,,,0,1
sharp,webp,photo_sky.png,92,105092,80.73630682,,,,,1,1
sharp,webp,photo_sky.png,91,97580,80.29320031,,,,,1,1
sharp,webp,photo_foliage.png,40,39796,57.76301476,,,,,0,1
sharp,webp,photo_foliage.png,45,43070,59.75669446,,,,,0,1
sharp,webp,photo_foliage.png,50,46216,61.5288064,,,,,0,1
sharp,webp,photo_foliage.png,55,49490,63.25361734,,,,,0,1
sharp,webp,photo_foliage.png,60,52346,64.23700227,,,,,0,1
sharp,webp,photo_foliage.png,65,55654,65.51832347,,,,,0,1
sharp,webp,photo_foliage.png,70,58770,66.52455477,,,,,0,1
sharp,webp,photo_foliage.png,75,63564,68.04284615,,,,,0,1
sharp,webp,photo_foliage.png,80,78700,71.56961829,,,,,0,1
sharp,webp,photo_foliage.png,85,100680,75.05808519,,,,,0,1
sharp,webp,photo_foliage.png,90,147984,80.02726521,,,,,0,1
sharp,webp,photo_foliage.png,95,252772,83.74026081,,,,,0,1
sharp,webp,photo_foliage.png,100,430356,86.62783382,,,,,0,1
sharp,webp,photo_foliage.png,88,124170,77.49982014,,,,,1,1
sharp,webp,photo_foliage.png,89,131534,78.63108062,,,,,1,1
sharp,avif,alpha_logo.png,40,3140,82.19059074,,,,,0,1
sharp,avif,alpha_logo.png,45,3239,86.12626367,,,,,0,1
sharp,avif,alpha_logo.png,50,3342,86.8856386,,,,,0,1
sharp,avif,alpha_logo.png,55,3560,88.1994095,,,,,0,1
sharp,avif,alpha_logo.png,60,3741,89.21703327,,,,,0,1
sharp,avif,alpha_logo.png,65,3958,89.84117493,,,,,0,1
sharp,avif,alpha_logo.png,70,4162,90.49939727,,,,,0,1
sharp,avif,alpha_logo.png,75,4394,91.35905135,,,,,0,1
sharp,avif,alpha_logo.png,80,4703,92.09062292,,,,,0,1
sharp,avif,alpha_logo.png,85,5235,93.00507654,,,,,0,1
sharp,avif,alpha_logo.png,90,5999,93.67452925,,,,,0,1
sharp,avif,alpha_logo.png,95,8433,94.0546728,,,,,0,1
sharp,avif,alpha_logo.png,100,32619,94.46204766,,,,,0,1
sharp,avif,alpha_logo.png,68,4034,90.39063401,,,,,1,1
